text,ecosys
potential sql injection postgresql zenddb adapter zend framework two thousand  two hundred and ten 23x two hundred and thirty-five potential sql injection postgresql zenddb adapter zend framework ,unknown
moderate severity vulnerability affect paperclip thoughtbot paperclip gem four hundred and twenty-two ruby consider contenttype value mediatype validation allow remote attackers upload html document conduct crosssite script xss attack via spoof value demonstrate imagejpeg thoughtbot paperclip ,unknown
cryptographic issue may possible remote code execution rce swap request binary attacker control binary attacker network position user remote server simple utility download selenium webdriver google chrome download binary resources http leave vulnerable mitm attack may possible remote code execution rce swap request binary attacker control binary attacker network position user remote server ,npm
critical severity vulnerability affect mitogen dispute corepy mitogen twenty-eight typo drop protection mechanism case child initiate another child ansible extension unaffected note vendor dispute issue exploitable conjunction hypothetical factor ie affect use case within library caller bug message receiver policy code lead reliance extra protection mechanism networkgenomics mitogen ,unknown
crosssite script crosssite script mitigation bypass exist magento could exploit authenticate user escalate privilege admin vs admin xss attack crosssite script mitigation bypass exist magento twenty-one prior two thousand  one hundred and eighteen magento twenty-two prior two hundred and twenty-nine magento twenty-three prior two hundred and thirty-two could exploit authenticate user escalate privilege admin vs admin xss attack magento magento ,unknown
download resources http jdfsass fork nodesass jdf use jdfsass download executable resources http leave vulnerable mitm attack may possible remote code execution rce swap request file attacker control file attacker network position user remote server ,npm
moderate severity vulnerability affect totaljs totaljs cms one thousand  two hundred xss relate itemmessage columnformat totaljs totaljs_cms ,npm
predictable temp filenames allow overwrite arbitrary file npm allow local users overwrite arbitrary file via symlink attack temporary file predictable name create unpack archive libnpmjs node package modules npm one hundred and thirty-three allow local users overwrite arbitrary file via symlink attack temporary file predictable name create unpack archive npmjs ,npm
setuptools thirty avoid potential security vulnerabilities present use tar archive ez_setuppy also leverage security feature add zipfileextract python two hundred and seventy-four ,unknown
django three hundred and four fix security issue three hundred and three potential sql injection via tolerance parameter gi function aggregate oracle see cve20209402 ,unknown
flaskappbuilder twenty include reset password corrections ,unknown
cleartext storage sensitive information jenkins sofyai plugin store credentials unencrypted job configxml file jenkins master view users extend read permission access master file system jenkins sofyai plugin store credentials unencrypted job configxml file jenkins master view users extend read permission access master file system jenkins sofyai ,unknown
crosssite script vulnerability typolinks ,unknown
potential direct access prefix action unconventional url paths would allow direct access prefix action without set correct request parameters authorization depend presence prefix rout key upgrade soon possible ,unknown
tensorflow two hundred and two update sqlite3 thirty-three thousand  one hundred and one handle cve201919880 cve201919244 cve201919645 update curl seven thousand  six hundred and ninety-one handle cve201915601 update libjpegturbo two hundred and four handle cve201819664 cve201820330 cve201913960 update apache spark two hundred and forty-five handle cve201910099 cve201817190 cve201811770 ,unknown
moderate severity vulnerability affect httpsignature httpsignature reference implementation joyent http signature scheme versions nine hundred and eleven httpsignature sign header value header name make httpsignature vulnerable header forgery thus attacker intercept request swap header name change mean request without change signature joyent httpsignature ,npm
ruby windows argfinplace_mode variable local overflow buffer overflow ruby 19x 191p429 windows might allow local users gain privilege via craft argfinplace_mode value properly handle construct filenames backup file buffer overflow ruby 19x 191p429 windows might allow local users gain privilege via craft argfinplace_mode value properly handle construct filenames backup file rubylang ruby ,unknown
cryptographic issue herbivore download binary resources http leave vulnerable mitm attack may possible remote code execution rce swap request resources attacker control copy attacker network position user remote server herbivore packet sniff craft library build libtins herbivore three download binary resources http leave vulnerable mitm attack may possible remote code execution rce swap request resources attacker control copy attacker network position user remote server herbivore_project herbivore ,npm
taint flag always propogated array pack string unpack array pack string unpack format taint flag original data propagate return stringarray array pack method convert receiver content string specify format receiver contain taint object return string also taint string unpack method convert receiver array also propagate taint flag object contain return array b b h h directives taint flag propagate script process unreliable input array pack andor string unpack directives check reliability taint flag check might wrong users run affect release upgrade immediately issue discover ruby two hundred and thirty-eight 24x two hundred and forty-five 25x two hundred and fifty-two 26x 260preview3 taint string result unpack taint string format rubylang ruby ,unknown
improper authentication blue ocean allow creation github organization folders set scan github organization repositories branch contain jenkinsfile create correspond pipelines jenkins scm content rest api support pipeline creation edit feature blue ocean scm content rest api check current user authentication credentials github organization folder create via blue ocean retain reference creator github credentials allow users read access github organization folder create arbitrary commit repositories inside github organization correspond github organization folder github credentials creator organization folder blue ocean allow creation github organization folders set scan github organization repositories branch contain jenkinsfile create correspond pipelines jenkins scm content rest api support pipeline creation edit feature blue ocean scm content rest api check current user authentication credentials github organization folder create via blue ocean retain reference creator github credentials allow users read access github organization folder create arbitrary commit repositories inside github organization correspond github organization folder github credentials creator organization folder additionally users read access github organization folder could read arbitrary file content repositories inside github organization correspond github organization folder branch contain jenkinsfile could create use part vulnerability could provide organization folder name repository name branch name file name jenkins blue_ocean ,unknown
buffer overflow imagingpcddecode buffer overflow imagingpcddecode function pcddecodec allow remote attackers denial service crash via craft photocd file buffer overflow imagingpcddecode function pcddecodec pillow three hundred and eleven python image library pil one hundred and seventeen earlier allow remote attackers denial service crash via craft photocd file python python_imaging ,unknown
crosssite script xss buttle cause execution attackerprovided code victim browser attacker create arbitrary file server xss buttle npm package version twenty cause execution attackerprovided code victim browser attacker create arbitrary file server buttle_project buttle ,npm
incorrect default permissions contao insecure permissions back end users manipulate detail view url show page article enable contao forty four hundred and eighty-five insecure permissions back end users manipulate detail view url show page article enable contao contao ,unknown
improper input validation issue discover libgit2 use rugged gem checkoutc mishandle equivalent filenames exist ntfs short name may allow remote code execution clone repository issue discover libgit2 two hundred and eighty-four 09x nine hundred and ninety checkoutc mishandle equivalent filenames exist ntfs short name may allow remote code execution clone repository issue similar cve20191353 libgit2 libgit2 ,unknown
moderate severity vulnerability affect rail crosssite script xss vulnerability i18n translations helper method ruby rail 30x three thousand and eleven 31x three hundred and twelve rails_xss plugin ruby rail 23x allow remote attackers inject arbitrary web script html via vectors relate translations string whose name end html substring rubyonrails railsrubyonrails ruby_on_rails ,unknown
weak password recovery mechanism forget password issue discover pagekit vulnerability remote attacker able reset register user password debug toolbar enable password successfully recover use exploit issue discover pagekit cms one thousand and eleven vulnerability remote attacker able reset register user password debug toolbar enable password successfully recover use exploit securelayer7 id sl7_pgkt_01 pagekit_project pagekit ,unknown
improper authentication omniauth omnitauthsaml may incorrectly utilize result xml dom traversal canonicalization apis way attacker may able manipulate saml data without invalidate cryptographic signature allow attacker potentially bypass authentication saml service providers omniauth omnitauthsaml one hundred and ninety earlier may incorrectly utilize result xml dom traversal canonicalization apis way attacker may able manipulate saml data without invalidate cryptographic signature allow attack potentially bypass authentication saml service providers omnitauthsaml ,unknown
crosssite script magento store crosssite script vulnerability successful exploitation could lead sensitive information disclosure magento magento ,unknown
thirty-two update urllib3 remove security vulnerability ,unknown
session fixation session fixation vulnerability exist jenkins saml plugin allow unauthorized attackers impersonate another users control preauthentication session session fixation vulnerability exist jenkins saml plugin one hundred and six earlier allow unauthorized attackers impersonate another users control preauthentication session jenkins saml ,unknown
moderate severity vulnerability affect tomcatembedcore default servlet apache tomcat versions 900m1 nine thousand and eleven eight hundred and fifty eight thousand  five hundred and thirty-three seven thousand and twenty-three seven thousand and ninety return redirect directory eg redirect foo user request foo specially craft url could use redirect generate uri attackers choice apache tomcatnetapp ,unknown
xee issue could expose local file easily trigger do attack sabredav one thousand  seven hundred and eleven use owncloud server five thousand and fifteen 60x six hundred and two allow remote attackers read arbitrary file denial service possibly impact via xml external entity xxe attack fruux sabredavowncloud owncloud ,unknown
i18n gem ruby hash slice function hash handle do i18n gem ruby contain flaw hash slice function trigger call hash some_key keep_keys hash may allow attacker program crash hash slice i18n gem eighty ruby allow remote attackers denial service application crash via call situation some_key present keep_keys present hash i18n_project i18n ,unknown
object injection flaw active job allow string arguments deserialized global ids may allow remote attacker inject arbitrary object ,unknown
injection vulnerability bypass security constraints via url parameter injection url parameter injection vulnerability find backchannel ticket validation step cas protocol jasig java cas client three hundred and thirty-two net cas client one hundred and two phpcas one hundred and thirty-three allow remote attackers inject arbitrary web script html via one service parameter two pgturl parameter apereo phpcas ,unknown
ansiblerunner one hundred and thirty-one add fix make default file permissions much secure upgrade recommend ,unknown
crosssite request forgery csrf autodiscovery plugin centreon allow csrf remote command execution via metacharacters post request issue discover centreon eighteen thousand  one hundred and eight nineteen thousand  one hundred and one nineteen thousand and forty-two allow csrf resultant remote command execution via metacharacters post autodiscovery plugin centreon centreon ,unknown
high severity vulnerability affect dgard8lab6 dgard8lab6 static file server dgard8lab6 vulnerable directory traversal issue give attacker access filesystem place url dgard8lab6_project dgard8lab6 ,npm
prodsecbug2369 store crosssite script admin panel store crosssite script vulnerability exist admin panel magento open source prior one thousand  nine hundred and forty-two magento commerce prior eleven thousand  four hundred and forty-two magento twenty-one prior two thousand  one hundred and eighteen magento twenty-two prior two hundred and twenty-nine magento twenty-three prior two hundred and thirty-two could exploit authenticate user privilege modify catalog price rule inject malicious javascript magento magento ,unknown
improper authentication faye vulnerable authentication bypass extension system vulnerability allow client bypass check put place serverside extensions append extra segment message channel faye npm rubygem versions greater fifty one hundred and four one hundred and thirteen one hundred and twenty-five potential authentication bypass extension system vulnerability allow client bypass check put place serverside extensions append extra segment message channel patch versions one hundred and four one hundred and thirteen one hundred and twenty-five faye_project faye ,unknown
download resources http download binary resources http leave vulnerable mitm attack may possible remote code execution rce swap request binary attacker control binary attacker network position user remote server ,npm
ruby openssl hostname verification review rfc six thousand  one hundred and twenty-five rfc five thousand  two hundred and eighty find multiple violations match hostnames particularly wildcard certificate ruby openssl extension provide stringbased match algorithm follow strict behavior recommend rfcs particular match one wildcard per subjectsan nolonger allow well comparison value caseinsensitive openssl extension ruby two hundred patchlevel six hundred and forty-five 21x two hundred and sixteen 22x two hundred and twenty-two properly validate hostnames allow remote attackers spoof servers via vectors relate one multiple wildcards one wildcards idna name three case sensitivity four nonascii character rubylang rubyrubylang trunkpuppet puppet_agentpuppet puppet_enterprise ,unknown
remote memory disclosure security issue find bittorrentdht allow someone send specific series message listen peer get reveal internal memory ,npm
improper restriction xml external entity reference use tool xssfexporttoxml convert userprovided microsoft excel document specially craft document allow attacker read file local filesystem internal network resources via xml external entity xxe process apache poi four hundred and ten use tool xssfexporttoxml convert userprovided microsoft excel document specially craft document allow attacker read file local filesystem internal network resources via xml external entity xxe process apache poi ,unknown
improper restriction xml external entity reference apache olingo xml content type entity deserializer apache olingo versions four hundred four hundred and sixty configure deny resolution external entities request content type applicationxml trigger deserialization entities use trigger xxe attack apache olingo ,unknown
high severity vulnerability affect pyopenssl python cryptographic authority pyopenssl version prior version one thousand  seven hundred and fifty contain cwe416 use free vulnerability x509 object handle result use free lead possible denial service remote code execution attack appear exploitable via depend call application retain reference memory vulnerability appear fix one thousand  seven hundred and fifty pyopenssl pyopensslredhat openstack ,unknown
crosssite script discover link tag generate typolink functionality vulnerable crosssite script properties assign html attribute parse correctly typo3 cms greater equal nine thousand  five hundred and twelve less nine thousand  five hundred and seventeen greater equal one thousand and twenty less one thousand and forty-two discover link tag generate typolink functionality vulnerable crosssite script properties assign html attribute parse correctly fix nine thousand  five hundred and seventeen one thousand and forty-two typo3 typo3 ,unknown
crosssite script frontend user login ,unknown
deserialization untrusted data flaw discover fasterxml jacksondatabind permit polymorphic deserialization malicious object specifically xalan jndi gadget use conjunction polymorphic type handle methods enabledefaulttyping gadget may also combine jsontypeinfo use idclass idminimal_class way might instantiate object unsafe source attacker could use flaw execute arbitrary code flaw discover fasterxml jacksondatabind versions two thousand  nine hundred and ten two thousand  one hundred would permit polymorphic deserialization malicious object use xalan jndi gadget use conjunction polymorphic type handle methods enabledefaulttyping jsontypeinfo use idclass idminimal_class way might instantiate object unsafe source attacker could use flaw execute arbitrary code fasterxml jboss_fuseredhat process_automation ,unknown
activerecord gem limit offset sql injection issue due program properly sanitize usersupplied input relate limit offset function may allow attacker inject manipulate sql query backend database allow manipulation disclosure arbitrary data ,unknown
remote code execution via ognl injention http parameter value ognl provide among feature extensive expression evaluation capabilities vulnerability allow malicious user bypass protections regex pattern deny method invocation build thus able inject malicious expression expose string variable evaluation apache strut two thousand  three hundred and twelve allow remote attackers bypass security protections class execute arbitrary command apache strutsredhat ,unknown
security misconfiguration install tool cookie ,unknown
crosssite script userprovided input containting properly escape attacker manipulate input introduce additional attribute potentially execute code haml versions prior version 500beta2 use user input perform task server character like must escape properly case character miss attacker manipulate input introduce additional attribute potentially execute code haml haml ,unknown
rendertron three hundred fix security issue appengine deployments ,unknown
moderate severity vulnerability affect orgapachearchiva archiva apache archiva two hundred two hundred and twenty-three possible write file archiva server arbitrary locations use artifact upload mechanism exist file overwrite archiva run user appropriate permission filesystem target file apache archiva ,unknown
moderate severity vulnerability affect simplehttpserver path traversal simplehttpserver v021 allow list file server simplehttpserver ,npm
crosssite script bbpress plug wordpress store xss forum creation section result javascript execution wpadmineditphp post_typeforum aka forum list page users administrator exploit wpadminpostphp actionedit uri bbpress plugin two hundred and sixty-four wordpress store xss forum creation section result javascript execution wpadmineditphp post_typeforum aka forum list page users administrator exploit wpadminpostphp actionedit uri bbpress bbpress ,unknown
crosssite script dolibarr store xss vulnerability via user group description section cardphp user createmodify users group permissions privilege inject script also achieve privilege escalation dolibarr nine hundred and five store xss vulnerability via user group description section cardphp user createmodify users group permissions privilege inject script also achieve privilege escalation dolibarr dolibarr ,unknown
high severity vulnerability affect tomita tomita node wrapper yandex tomita parser tomita download binary resources http leave vulnerable mitm attack may possible remote code execution rce swap request resources attacker control copy attacker network position user remote server tomita_project tomita ,npm
flaskparserpy webargs 5x five hundred and fifty-two check contenttype header applicationjson receive json input request body valid json accept even content type allow json post request make across domains lead csrf see cve20207965 flaskparserpy webargs 5x five hundred and fifty-two check contenttype header applicationjson receive json input request body valid json accept even content type allow json post request make across domains lead csrf webargs_project webargs ,unknown
directory traversal myprolyz vulnerable directory traversal issue give attacker access filesystem place urln ,npm
productspoi two hundred and twenty-three allow anonymous users see issue inside private folders ,unknown
denial service payload 22kb cause lag one second payload 35kb cause lag three second payload 86kb cause server crash ,npm
crosssite request forgery csrf jenkins vulnerable issue jenkins user database authentication realm jenkins versions two hundred and fifty-six earlier well two thousand  four hundred and sixty-one lts earlier vulnerable issue jenkins user database authentication realm create account signup enable create account victim administrator possibly delete exist default admin user process allow wide variety impact jenkins jenkins ,unknown
ftwlawgiver one thousand  one hundred and sixty-one fix workflow security ,unknown
djangomaterial one hundred and fifty-one include js injection vulnerability list view ,unknown
forgeable publicprivate tokens since algorithm enforce jwtdecode malicious user could choose algorithm send send server server expect rsa send hmacsha rsa public key server think public key actually hmac private key could use forge data attacker want ,unknown
ss2016008 password encryption salt expiry ,unknown
qutebrowser one hundred and thirty-three xss vulnerability qute history page allow websites inject html page via craft title tag could allow steal browse history currently unable upgrade avoid use history see cve20181000559 qutebrowser version introduce v0110 contain cross site script xss vulnerability history command qute history page result via inject javascript code website steal user browse history attack appear exploitable via victim must open page specially craft title attribute open qute history site via history command vulnerability appear fix fix v133 release today v140 release later week qutebrowser qutebrowser ,unknown
os command injection curlrequest allow read file populate file parameter user input curlrequest one hundred and one allow read file populate file parameter user input curlrequest_project curlrequest ,npm
improper input validation urlvalidator class apache strut two allow remote attackers denial service via null value url field urlvalidator class apache strut two two thousand  three hundred and twenty twenty-three thousand  two hundred and eighty-one 25x two hundred and fifty-one allow remote attackers denial service via null value url field apache strut ,unknown
information exposure update process group via api nifi response request include content top level recursively response include detail processors controller service user may read access update process group via api nifi versions one hundred and thirty one hundred and ninety-two response request include content top level recursively response include detail processors controller service user may read access apache nifi ,unknown
leak password process table flaw liblawnrb cause application expose password information plaintext process table may allow local attacker gain access password information login function liblawnrb lawnlogin gem seven ruby place credentials curl command line allow local users obtain sensitive information list process lawnlogin_project lawnlogin ,unknown
improper access control condition content moderation fail check users access use certain transition lead access bypass ,unknown
ldap injection library vulnerable ldap injection username parameter ldapauthfork two hundred and thirty-three allow remote attackers perform ldap injection attack via craft username ldapauthfork ,npm
improper access control use ktlint download execute custom rulesets result arbitrary code execution serve jar compromise mitm attack exploitable via man middle http connection artifact servers use ktlint download execute custom rulesets result arbitrary code execution serve jar compromise mitm attack exploitable via man middle http connection artifact servers vulnerability appear fix three hundred later commit ktlint_project ktlint ,unknown
path traversal mjml contain path traversal vulnerability process mjinclude directive within mjml document mjml prior four hundred and sixty-three contain path traversal vulnerability process mjinclude directive within mjml document mjml mjml ,npm
python sdk three thousand  one hundred and six cli three thousand  one hundred and eight ovirt thirty-one check server ssl certificate client key allow remote attackers spoof server via maninthemiddle mitm attack python sdk three thousand  one hundred and six cli three thousand  one hundred and eight ovirt thirty-one check server ssl certificate client key allow remote attackers spoof server via maninthemiddle mitm attack ovirt ovirtovirt three thousand  one hundred and five ,unknown
code injection saltapi saltstack salt allow arbitrary command execution saltmaster via salt ssh_client saltapi saltstack salt two million  fifteen thousand  eight hundred and thirteen 20163x two hundred and one thousand  six hundred and thirty-five 201611x two million  sixteen thousand  one hundred and twelve allow arbitrary command execution saltmaster via salt ssh_client saltstack salt ,unknown
denial service remote code execution utilities function mixindeep trick modify prototype object attacker control part structure pass function let attacker add modify exist property exist object lead denial service remote code execution ,npm
crosssite script eclipse jetty generation default unhandled error response content texthtml textjson contenttype escape exception message stacktraces include error output eclipse jetty versions 9421v20190926 9422v20191022 9423v20191118 generation default unhandled error response content texthtml textjson contenttype escape exception message stacktraces include error output eclipse jetty ,unknown
hijack environment variables mssqljs malicious module publish intent hijack environment variables unpublished npm ,npm
moderate severity vulnerability affect embersource crosssite script xss vulnerability emberjs 110x one thousand  one hundred and one 111x one thousand  one hundred and twelve emberjs emberjs ,unknown
crosssite script crosssite script vulnerability exist drupal due insufficient sanitization table descriptions field name label display crosssite script vulnerability exist drupal six hundred and twenty data 6x10alpha14 due insufficient sanitization table descriptions field name label display drupal datadrupal drupal ,unknown
high severity vulnerability affect mercurial mercurial four hundred and thirteen hg serve stdio allow remote authenticate users launch python debugger consequently execute arbitrary code use debugger repository name mercurial mercurial ,unknown
seedidentitystore one hundred and two include upgrade dependencies security vulnerabilities ,unknown
crosssite script dolibarr xss via sall parameter dolibarr erpcrm four hundred and four xss via sall parameter dolibarr dolibarr ,unknown
http header injection use line break crlf injection vulnerability drupal_set_header function drupal 6x six hundred and thirty-eight use php five hundred and twelve allow remote attackers inject arbitrary http headers conduct http response split attack leverage module allow usersubmitted data appear http headers drupal drupal ,unknown
file rest resource properly validate file rest resource properly validate field manipulate file site affect site restful web service rest module enable file rest resource enable allow patch request attacker get register user account site permissions upload file modify file resource drupal eight prior eight hundred and thirty-four file rest resource properly validate field manipulate file site affect site restful web service rest module enable file rest resource enable allow patch request attacker get register user account site permissions upload file modify file resource drupal drupal ,unknown
possible cache poisining homepage anchor use ,unknown
xaviershaydmrails gem ruby expose sensitive information via process table xaviershaydmrails gem ruby contain flaw execute function issue due function expose sensitive information via process table may allow local attack gain access mysql credential information ,unknown
moderately critical cross site script ,unknown
crosssite script kontena allow xss kontena master login remote code display demonstrate code code uri kontena one hundred and fifty allow xss kontena master login remote code display demonstrate code code uri kontena kontena ,unknown
nsupdate eighty fix security issue abuse_blocked flag could work around abuser ,unknown
crosssite script xss vulnerability file browser ipython notebook three hundred and twenty-two jupyter notebook 40x four hundred and five allow remote attackers inject arbitrary web script html via folder name note originally report crosssite request forgery csrf vulnerability may inaccurate crosssite script xss vulnerability file browser ipython notebook three hundred and twenty-two jupyter notebook 40x four hundred and five allow remote attackers inject arbitrary web script html via folder name note originally report crosssite request forgery csrf vulnerability may inaccurate jupyter notebookipython notebook ,unknown
high severity vulnerability affect orgapachecamel camelcore apache camel two thousand  two hundred two thousand  two hundred and three two thousand  two hundred and ten core vulnerable xxe xsd validation processor apache camel ,unknown
mopidyjellyfin thirty-one address security vulnerability one dependencies ,unknown
regular expression denial service specifically craft long headers uris minor denial service hawk three hundred and thirteen 4x four hundred and eleven allow remote attackers denial service cpu consumption partial outage via long one header two uri match improper regular expression hawk_project hawk ,npm
gitlab grit gem ruby contain flaw gitlab grit gem ruby contain flaw script issue trigger input pass via code search box properly sanitize allow string evaluate bourne may allow remote attacker execute arbitrary command grit gem ruby use gitlab fifty-two five hundred and forty-one 6x six hundred and twenty-three allow remote authenticate users execute arbitrary command demonstrate search box gitlab code search feature gitlab gitlab ,unknown
moderate severity vulnerability affect orgapachehive hive orgapachehive hiveexec orgapachehive hiveservice ldap implementation hiveserver2 apache hive one hundred and one 11x one hundred and eleven use ibm infosphere biginsights thirty three thousand and one three thousand and two products mishandle simple unauthenticated anonymous bind configurations allow remote attackers bypass authentication via craft ldap request ibm hive ,unknown
high severity vulnerability affect nativeopencv nativeopencv opencv library instal via npm nativeopencv download binary resources http leave vulnerable mitm attack may possible remote code execution rce swap request resources attacker control copy attacker network position user remote server nativeopencv ,npm
moderate severity vulnerability affect possible xss vulnerability gem versions one hundred and four ruby gem allow nonwhitelisted attribute present sanitize output input speciallycrafted html fragment attribute lead xss attack target applications issue similar cve20188048 loofah users run affect release either upgrade use one workarounds immediately rubyonrails html_sanitizer ,unknown
code injection unintended require vulnerability scriptmanager npm package may allow attackers load execute arbitrary code unintended require vulnerability scriptmanager npm package version eighty-six earlier may allow attackers execute arbitrary code scriptmanager ,npm
crosssite script vulnerability exist due insufficient filtration data attacker could execute arbitrary html script code browser context vulnerable website crosssite script xss discover teampass twenty-one thousand  two hundred and seventy-nine vulnerability exist due insufficient filtration data attacker could execute arbitrary html script code browser context vulnerable website teampass teampass ,unknown
use insecure connection charset sqlauth module sqlauth module simplesamlphp one thousand  one hundred and fifty-two rely mysql utf8 charset truncate query upon encounter fourbyte character might scenario allow remote attackers bypass intend access restrictions simplesamlphp simplesamlphp ,unknown
information exporure request gethost poison vulnerability symfony symfony 20x two thousand and twenty-four 21x two thousand  one hundred and twelve 22x two hundred and twenty-five 23x two hundred and thirty-three issue httpfoundation component host header manipulate attacker framework generate absolute url remote attacker could exploit vulnerability inject malicious content web application page conduct various attack sensiolabs symfony ,unknown
signature forgery attacker fake signatures public key low exponent verify function rsa package python pythonrsa thirty-three allow attackers spoof signatures small public exponent via craft signature pad aka berserk attack python rsa ,unknown
improper privilege management plonerestapi plone allow users certain privilege level escalate privilege highest level plonerestapi plone five hundred and twenty five hundred and twenty-one allow users certain privilege level escalate privilege highest level plone plone ,unknown
creavel one hundred and ten unspecified security issue vulnerable via unknown vectors ,unknown
injection vulnerability server side template injection ssti discover seomatic plug craft cms request match elements incorrectly generate canonicalurl lead execution twig code server side template injection ssti discover seomatic plugin three hundred and fourteen craft cms request match elements incorrectly generate canonicalurl lead execution twig code nystudio107 seomatic ,unknown
high severity vulnerability affect versions prior one hundred and one expose arbitrary file write vulnerability achieve use specially craft zip archive affect archive well bzip2 tar xz war cpio 7z hold path traversal filenames filename get concatenate target extraction directory final path end outside target folder pivotal_software ,unknown
os command injection growl properly sanitize input pass exec allow arbitrary command execution growl add growl notification support nodejs growl one thousand  one hundred and two properly sanitize input pass exec allow arbitrary command execution growl_project growl ,npm
xml entity injection vulnerability possible via craft document type definition xml entity injection vulnerability exist magento twenty-two prior two thousand  two hundred and ten magento twenty-three prior two hundred and thirty-three 232p1 authenticate admin user craft document type definition xml represent xml layout craft document type definition xml layout allow process external entities lead information disclosure magento magento ,unknown
critical severity vulnerability affect cryo code injection cryo six allow attacker arbitrarily execute code due insecure implementation deserialization ,npm
